,Title,Price,Description,Image,docno
57,médaille en bronze signé H. Ponscarme ministère de l'agriculture ARRAS 62 Pas De Calais 1893 concours régional hippique,"± 8,24 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/574/774_001.jpg?v=2,58
58,médaille en bronze signé Alphée DUBOIS ( animaux de la ferme vache cheval ),"± 4,10 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/574/768_001.jpg?v=2,59
59,grosse médaille en bronze calendrier 1970 signes du zodiaque signée Anastase,"± 13,20 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/574/765_001.jpg?v=2,60
60,médaille en cuivre comice agricole de VIERZON - LURY - GRACAY ( 18 Cher ),"± 13,20 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/574/759_001.jpg?v=2,61
61,DWN - TUNISIA P.95 - 5 Dinars 2013 UNC Replacement CR/1,"± 4,74 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/573/373_001.jpg?v=3,62
62,lot de 5 billets billet Ukraine ( état d'usage ),"± 3,27 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/567/151_001.jpg?v=2,63
63,"billet , FRANCE , 5 francs , cinq , TRESOR FRANCAIS , territoires occupés","± 3,27 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/567/145_001.jpg?v=2,64
64,médaille bronze fédération nationale des charbons sté LES FILS CHARVET à VILLEFRANCHE SUR SAONE 69 TAMAIN signé Brenet,"± 14,85 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/567/037_001.jpg?v=2,65
65,jeton gradué ?  à identifier L. METAIRIE le blason = hameau du Pizay à Saint Jean d'Ardières vins Bourgogne Beaujolais,"± 16,51 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/566/935_001.jpg?v=2,66
66,médaille en bronze fédération du commerce et de l'artisanat de l'automobile F.N.C.A.A.,"± 14,85 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/566/926_001.jpg?v=2,67
67,médaille en cuivre comice agricole de BOURG EN BRESSE AIN / Napoléon III Empereur signé Oudiné,"± 16,51 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/566/923_001.jpg?v=2,68
68,médaille en bronze 1822 1890 MAURICE MAIGNEN cercle Montparnasse association MAIGNEN ( Jean-Pierre GAUTHIER ),"± 14,85 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/566/917_001.jpg?v=2,69
69,médaille bronze 1835 1935 centenaire de la fondation du séminaire d' AJACCIO consécration de la CORSE à Marie IMMACULEE,"± 33,05 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/566/914_001.jpg?v=2,70
70,médaille cuivre ANTOINE JEAN BAPTISTE ROBERT AUGET DE MONTYON prix de vertu fondation Marie LASNE dame BALLE 1888,"± 13,20 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/566/911_001.jpg?v=2,71
71,médaille en bronze comice agricole de JUSSEY 70 HAUTE SAONE ( signé ROTY ),"± 24,77 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/566/908_001.jpg?v=2,72
72,médaille en cuivre comice de CHAROLLES en 1852 ( 71 Saône Et Loire ) signé DUBOIS ( avec sa boite  ),"± 33,05 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/566/902_001.jpg?v=2,73
73,médaille en cuivre concours agricole d' ANNEMASSE année 1899,"± 21,46 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/566/899_001.jpg?v=2,74
74,médaille exposition commerciale et alimentaire ANVERS 1894 ( Belgique ) LEOPOLD II ROI DES BELGES signé A. FISCH,"± 23,11 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/566/896_001.jpg?v=2,75
75,médaille en bronze de la ville RILLIEUX LA PAPE blason ( 69 Rhône ),"± 39,66 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/566/893_001.jpg?v=2,76
76,médaille en cuivre année 1874 ministère de l'agriculture et du commerce ( MACON 71 concours agricole ) signé Barre,"± 24,77 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/566/890_001.jpg?v=2,77
77,médaille en cuivre du MANNEKEN PIS exposition universelle de 1935 BRUXELLES BELGIQUE,"± 20,63 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/566/884_001.jpg?v=2,78
78,médaille bronze syndicat général de la boulangerie Française signé R. LAMOURDEDIEU avec sa boite,"± 20,63 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/566/881_001.jpg?v=2,79
79,RARE  médaille en ARGENT de TOURNUS 71 SAONE ET LOIRE année 1897 / société d'agriculture arrondissement de Mâcon,"± 64,47 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/566/875_001.jpg?v=2,80
80,médaille en cuivre syndicat beaujolais et du mâconnais ( MACON 71 SAONE ET LOIRE / vignes ) signé Bescher,"± 12,37 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/566/869_001.jpg?v=2,81
81,"médaille bronze signé Daniel DUPUIS / union des industriels du JURA "" GAY LOUIS "" 1972","± 13,20 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/566/866_001.jpg?v=2,82
82,5459 - Firenze ... ,Zecche italiane,,pics/imgSmall/shop/5459-D.jpg,83
83,5458 - 5 Lire It 1946 ... ,Repubblica Italiana,,pics/imgSmall/shop/5458-R.jpg,84
84,5486 - Roma 30 Baiocchi ... ,Zecche italiane,,pics/imgSmall/shop/5486-D.jpg,85
85,5189 - Senato Romano ... ,Zecche italiane,,pics/imgSmall/shop/5189-D.jpg,86
86, 5 Lire Ag 1861 Firenze ... ,Regno d'Italia,,pics/imgSmall/shop/4214-D.jpg,87
87,5255 - Milano 10 ... ,Zecche italiane,,pics/imgSmall/shop/5255-D.jpg,88
88,5219 - Parma 3 Lire Ag ... ,Zecche italiane,,pics/imgSmall/shop/5219-D.jpg,89
89,5198 - Milano Filippo ... ,Zecche italiane,,pics/imgSmall/shop/5198-D.jpg,90
90,5168 - Lira Ag Valore ... ,Regno d'Italia,,pics/imgSmall/shop/5168-R_1.jpg,91
91,5439 - 2 Lire Ag 1901 ... ,Regno d'Italia,,pics/imgSmall/shop/5439-D.jpg,92
92,5438 - Pio XI 20 ... ,Città del Vaticano,,pics/imgSmall/shop/5438-R.jpg,93
93,5437 - 100 Lire Au 1903 ... ,Regno d'Italia,,pics/imgSmall/shop/5437-R.jpg,94
94,4977 - Napoli Tarì Ag ... ,Zecche italiane,,pics/imgSmall/shop/4977-D.jpg,95
95,5423 - Firenze Dena Ag ... ,Zecche italiane,,pics/imgSmall/shop/5423-D.jpg,96
96,4878 - Olanda Utrecht 7 ... ,Monete Estere,,pics/imgSmall/shop/4878-R.jpg,97
97,5366 - Prussia 5 Marchi ... ,Monete Estere,,pics/imgSmall/shop/5366-D.jpg,98
98,5072 - Palermo 3 ... ,Zecche italiane,,pics/imgSmall/shop/5072-D.jpg,99
99,4971 - Napoli Tarì Ag ... ,Zecche italiane,,pics/imgSmall/shop/4971-D.jpg,100
100,5460 - Genova 8 Lire Ag ... ,Zecche italiane,,pics/imgSmall/shop/5460-D.jpg,101
101,5406 - Roma Pio IX ... ,Zecche italiane,,pics/imgSmall/shop/5406-D.jpg,102
102,5487 - Roma Scudo Ag ... ,Zecche italiane,,pics/imgSmall/shop/5487-D.jpg,103
103,,,,,104
104,,,,,105
105,,,,,106
